country,university,link,abbre
AT,Fachhochschulstudiengänge Hagenberg,http://www.fh-hagenberg.at/,fh-hagenberg
AT,Fachhochschulstudiengänge Krems IMC,http://www.imc-krems.ac.at/,imc-krems
AT,Fachhochschulstudiengänge Steyr,http://www.fh-steyr.at/,fh-steyr
AT,Fachhochschulstudiengänge Wels,http://www.fh-wels.at/,fh-wels
AT,Institute of Science and Technology,http://www.ist.ac.at/,ist
AT,Katholisch-Theologische Privatuniversität Linz,http://www.kth-linz.ac.at/,kth-linz
AT,MCI-Management Center Innsbruck,http://www.mci.edu/,mci
AT,Medizinische Universität Graz,http://www.meduni-graz.at/,meduni-graz
AT,Medizinische Universität Innsbruck,http://www.i-med.ac.at/,i-med
AT,Medizinische Universität Wien,http://www.meduniwien.at/,meduniwien
AT,Montanuniversität Leoben,http://www.unileoben.ac.at/,unileoben
AT,Private Universität für Medizinische Informatik und Technik Tirol,http://www.umit.at/,umit
AT,Technikum Wien,http://www.technikum-wien.at/,technikum-wien
AT,Technische Universität Graz,http://www.tugraz.at/,tugraz
AT,Technische Universität Wien,http://www.tuwien.ac.at/,tuwien
AT,Universität für angewandte Kunst Wien,http://ns2.uni-ak.ac.at/,uni-ak
AT,Universität für Bodenkultur Wien,http://www.boku.ac.at/,boku
AT,Universität für künstlerische und industrielle Gestaltung Linz,http://www.khs-linz.ac.at/,khs-linz
AT,Universität für Musik und darstellende Kunst Graz,http://www.kug.ac.at/,kug
AT,Universität für Musik und darstellende Kunst  Wien,http://www.mdw.ac.at/,mdw
AT,Universität Graz,http://www.kfunigraz.ac.at/,kfunigraz
AT,Universität Innsbruck,http://www.uibk.ac.at/,uibk
AT,Universität Klagenfurt,http://www.uni-klu.ac.at/,uni-klu
AT,Universität Linz,http://www.uni-linz.ac.at/,uni-linz
AT,Universität Mozarteum Salzburg,http://www.moz.ac.at/,moz
AT,Universität Salzburg,http://www.sbg.ac.at/,sbg
AT,Universität Vienna,http://www.univie.ac.at/,univie
AT,Veterinärmedizinische Universität Wien,http://www.vu-wien.ac.at/,vu-wien
AT,"Webster University, Vienna",http://www.webster.ac.at/,webster
AT,Wirtschaftsuniversität Wien,http://www.wu-wien.ac.at/,wu-wien
AU,Australian Catholic University,http://www.acu.edu.au/,acu
AU,Australian Correspondence Schools,http://www.acs.edu.au/,acs
AU,Australian Defence Force Academy,http://www.adfa.oz.au/,adfa
AU,Australian Lutheran College,http://www.alc.edu.au/,alc
AU,Australian Maritime College,http://www.amc.edu.au/,amc
AU,Australian National University,http://www.anu.edu.au/,anu
AU,Avondale College,http://www.avondale.edu.au/,avondale
AU,Batchelor Institute of Indigenous Tertiary Education,http://www.nt.gov.au/batc/,nt
AU,Blue Mountains Hotel School,http://www.hotelschool.com.au/,hotelschool
AU,Bond University,http://www.bond.edu.au/,bond
AU,Central Queensland University,http://www.cqu.edu.au/,cqu
AU,Charles Darwin University,http://www.cdu.edu.au/,cdu
AU,Charles Sturt University,http://www.csu.edu.au/,csu
AU,Curtin University of Technology,http://www.curtin.edu.au/,curtin
AU,Deakin University,http://www.deakin.edu.au/,deakin
